資料名,編著者,標記年/刊行年,作成機関/出版者,大きさ,備考,五十年史番号,目録番号,区分1,区分2,画像注記,区分3,正副,内容注記,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcterms:creator,dcterms:date,dcterms:publisher,dcterms:extent,archiveshub:note,fnenshi:fnenshiNumber,fnenshi:catalogNumber,fnenshi:categoy1,fnenshi:categoy2,fnenshi:imageNote,fnenshi:categoy3,fnenshi:duplicate,fnenshi:contentNote,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,31437
往復簿  自明治十一年七月至九月,,明治11年7月~明治11年9月 (1878~1878),東京大学医学部,268×193,重要文化財,153-1,263,I史料,1.東京大学関係,館内閲覧限定,1-2 東京大学時代(明治10年~明治19年),副本,医学部関係書類,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/19bc1f19-9549-0882-534f-5611d287006a.json,19bc1f19-9549-0882-534f-5611d287006a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/19bc1f19-9549-0882-534f-5611d287006a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482148,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,290,,,,,,,0
往復簿  自明治十一年十月ヨリ十二月ニ至ル,,明治11年10月~明治11年12月 (1878~1878),東京大学医学部,268×193,重要文化財,153-2,264,I史料,1.東京大学関係,館内閲覧限定,1-2 東京大学時代(明治10年~明治19年),副本,医学部関係書類,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c1b35d34-4fb0-5d7b-930a-7bf78e7a207c.json,c1b35d34-4fb0-5d7b-930a-7bf78e7a207c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/c1b35d34-4fb0-5d7b-930a-7bf78e7a207c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482149,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,291,,,,,,,0
往復簿  往復簿  自明治十二年七月至同年九月,,明治12年7月~明治12年9月 (1879~1879),東京大学医学部,267×195,重要文化財,154-1,270,I史料,1.東京大学関係,館内閲覧限定,1-2 東京大学時代(明治10年~明治19年),副本,医学部関係書類,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/77bd6129-6742-54c2-1559-b3d67b472644.json,77bd6129-6742-54c2-1559-b3d67b472644,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/77bd6129-6742-54c2-1559-b3d67b472644,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482150,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,292,,,,,,,0
往復簿  明治十二年十月ヨリ同十二月マテ,,明治12年10月~明治12年12月 (1879~1879),東京大学医学部,267×195,重要文化財,154-2,271,I史料,1.東京大学関係,館内閲覧限定,1-2 東京大学時代(明治10年~明治19年),副本,医学部関係書類,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3575797e-1013-0c4a-40b0-074062272535.json,3575797e-1013-0c4a-40b0-074062272535,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/3575797e-1013-0c4a-40b0-074062272535,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482151,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,293,,,,,,,0
往復簿  明治十三年一月ヨリ同三月マテ,,明治13年1月~明治13年3月 (1880~1880),東京大学医学部,268×193,重要文化財,155-1,273,I史料,1.東京大学関係,館内閲覧限定,1-2 東京大学時代(明治10年~明治19年),副本,医学部関係書類,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/69029ad6-28cb-928a-5cdc-93087a7192d9.json,69029ad6-28cb-928a-5cdc-93087a7192d9,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/69029ad6-28cb-928a-5cdc-93087a7192d9,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482152,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,294,,,,,,,0
往復簿  明治十三年四月ヨリ同六月ニ至ル,,明治13年4月~明治13年6月 (1880~1880),東京大学医学部,268×193,重要文化財,155-2,274,I史料,1.東京大学関係,館内閲覧限定,1-2 東京大学時代(明治10年~明治19年),副本,医学部関係書類,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4a7e2078-81fa-44ea-8689-f6863eaea0a2.json,4a7e2078-81fa-44ea-8689-f6863eaea0a2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/4a7e2078-81fa-44ea-8689-f6863eaea0a2,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482153,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,295,,,,,,,0
往復簿  明治十三年七月ヨリ同九月ニ至ル,,明治13年7月~明治13年9月 (1880~1880),東京大学医学部,269×192,重要文化財,156-1,275,I史料,1.東京大学関係,館内閲覧限定,1-2 東京大学時代(明治10年~明治19年),副本,医学部関係書類,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5e9d79e7-1e2a-9a80-47aa-c906c57c51e6.json,5e9d79e7-1e2a-9a80-47aa-c906c57c51e6,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/5e9d79e7-1e2a-9a80-47aa-c906c57c51e6,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482154,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,296,,,,,,,0
往復簿  明治十三年十月ヨリ同十二月ニ至ル,,明治13年10月~明治13年12月 (1880~1880),東京大学医学部,269×192,重要文化財,156-2,276,I史料,1.東京大学関係,館内閲覧限定,1-2 東京大学時代(明治10年~明治19年),副本,医学部関係書類,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a9a6146e-1551-12f2-4d7a-cd2cc99e6da1.json,a9a6146e-1551-12f2-4d7a-cd2cc99e6da1,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/a9a6146e-1551-12f2-4d7a-cd2cc99e6da1,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482155,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,297,,,,,,,0
往復簿  明治十四年一月ヨリ三月マテ,,明治14年1月~明治14年3月 (1881~1881),東京大学医学部,268×194,重要文化財,157,283,I史料,1.東京大学関係,館内閲覧限定,1-2 東京大学時代(明治10年~明治19年),副本,医学部関係書類,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c542b211-45cc-475c-95da-7fe6868382fe.json,c542b211-45cc-475c-95da-7fe6868382fe,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/c542b211-45cc-475c-95da-7fe6868382fe,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482156,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,298,,,,,,,0
諸官往復留  明治三年十月,,明治3年10月~明治3年閏10月 (1870~1870),大学東校,267×189,重要文化財,158,110,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ca9d8ee2-6af8-6af2-1c54-1c9e0349083c.json,ca9d8ee2-6af8-6af2-1c54-1c9e0349083c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/ca9d8ee2-6af8-6af2-1c54-1c9e0349083c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/87ebc9d1e7358ef8f50dc798332cdc29417a80aa.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482157,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,299,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ca9d8ee2-6af8-6af2-1c54-1c9e0349083c/manifest,,,,,81
明治文化全集 第二巻 正史篇,吉野作造編輯代表,昭和3年5月15日 (1928),日本評論社,222×147,,1,453,II刊本,4.その他,画像なし,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/da9b9288-8e0e-42d7-6b2f-4908f6cd2bc4.json,da9b9288-8e0e-42d7-6b2f-4908f6cd2bc4,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/da9b9288-8e0e-42d7-6b2f-4908f6cd2bc4,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482018,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,3,,,,,,,0
御用留  文政十三年正月,,文政13年正月~慶応2年10月 (1830~1866),,268×190,重要文化財,161-1,87,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5a3410f4-82dd-4b42-03ce-e0eb2dcf4729.json,5a3410f4-82dd-4b42-03ce-e0eb2dcf4729,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/5a3410f4-82dd-4b42-03ce-e0eb2dcf4729,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0e298a5671fb2a162fa12fbc9df3795dbd7501db.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482158,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,303,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5a3410f4-82dd-4b42-03ce-e0eb2dcf4729/manifest,,,,,145
御用留  明治三年閏十月,,明治3年10月~明治3年12月 (1870~1870),大学東校,268×190,重要文化財,161-2,88,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2b7d341b-0c1b-720a-6c5e-4f1eeb106f1a.json,2b7d341b-0c1b-720a-6c5e-4f1eeb106f1a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/2b7d341b-0c1b-720a-6c5e-4f1eeb106f1a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c59c7e2de08761fe73aa950ecc8d6720d12cabd2.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482159,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,304,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2b7d341b-0c1b-720a-6c5e-4f1eeb106f1a/manifest,,,,,59
職員進退録  全壱冊  明治十四年分,,明治14年1月~明治14年8月 (1881~1881),東京大学,264×189,重要文化財,162,292,I史料,1.東京大学関係,,1-2 東京大学時代(明治10年~明治19年),副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b60912b1-0fc4-9948-526b-0d584f3965fc.json,b60912b1-0fc4-9948-526b-0d584f3965fc,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/b60912b1-0fc4-9948-526b-0d584f3965fc,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ff8cb3e1eb87bab357030880159ddf0bab89427a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482160,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,306,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b60912b1-0fc4-9948-526b-0d584f3965fc/manifest,,,,,374
卒業事件書類(学生・生徒卒業之件)  明治十一年三月ヨリ同十三年十二月マテ,,明治11年3月~明治13年12月 (1878~1880),東京大学医学部,258×194,重要文化財,163,265,I史料,1.東京大学関係,,1-2 東京大学時代(明治10年~明治19年),副本,医学部関係書類,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e0ab07d0-a1f0-9dd2-0a33-298e61d24d2b.json,e0ab07d0-a1f0-9dd2-0a33-298e61d24d2b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/e0ab07d0-a1f0-9dd2-0a33-298e61d24d2b,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e95bc142a9a9b5ee20c4d13ba2d5f9e54ec7b407.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482161,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,307,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e0ab07d0-a1f0-9dd2-0a33-298e61d24d2b/manifest,,,,,159
進退一切之件  明治十三年,,明治13年1月~明治13年12月 (1880~1880),東京大学医学部,219×194,重要文化財,164-1,277,I史料,1.東京大学関係,,1-2 東京大学時代(明治10年~明治19年),副本,医学部関係書類,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/76be9af5-4781-7560-a17a-9a2f04b67bee.json,76be9af5-4781-7560-a17a-9a2f04b67bee,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/76be9af5-4781-7560-a17a-9a2f04b67bee,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d76ce2d1f9d78e831645333bf9d92c93c1a62ff1.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482162,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,308,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/76be9af5-4781-7560-a17a-9a2f04b67bee/manifest,,,,,314
進退一切之件  明治十四年一月ヨリ六月ニ至ル,,明治14年1月~明治14年6月 (1881~1881),東京大学医学部,219×194,重要文化財,164-2,278,I史料,1.東京大学関係,,1-2 東京大学時代(明治10年~明治19年),副本,医学部関係書類,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/651ddd07-5288-878c-78df-db67070d158d.json,651ddd07-5288-878c-78df-db67070d158d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/651ddd07-5288-878c-78df-db67070d158d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/764b745f1dff1580e822a69206c6e584fa9d534c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482163,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,309,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/651ddd07-5288-878c-78df-db67070d158d/manifest,,,,,234
教師一切事件  明治八年中,,明治8年1月~明治8年12月 (1875~1875),東京医学校,270×190,重要文化財,165-3,139,I史料,1.東京大学関係,画像なし,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/6e4ece03-5930-a257-a5fa-181277a32e04.json,6e4ece03-5930-a257-a5fa-181277a32e04,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/6e4ece03-5930-a257-a5fa-181277a32e04,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482164,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,312,,,,,,,0
医務諸件  明治六年ヨリ同八年十月ニ至ル,,明治6年6月~明治8年10月 (1873~1875),東京医学校,269×194,重要文化財,166,140,I史料,1.東京大学関係,館内閲覧限定,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8d60808a-3880-02de-0355-9372cc3a70a8.json,8d60808a-3880-02de-0355-9372cc3a70a8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/8d60808a-3880-02de-0355-9372cc3a70a8,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482165,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,313,,,,,,,0
医院事務  明治九・十年 第213,,明治9年1月~明治10年12月 (1876~1877),東京大学医学部,267×192,重要文化財,167,199,I史料,1.東京大学関係,,1-1 東京大学前史,副本,医学部関係書類,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9949697f-101c-a1c7-079e-8e3e569fa730.json,9949697f-101c-a1c7-079e-8e3e569fa730,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/9949697f-101c-a1c7-079e-8e3e569fa730,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fc1eb70c6eece0bedd0c0956162d96f4a8eb0214.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482166,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,314,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9949697f-101c-a1c7-079e-8e3e569fa730/manifest,,,,,50
官員履歴書綴  明治二年,,明治2年1月~明治6年4月 (1869~1873),,254×193,重要文化財,168,100,I史料,1.東京大学関係,,1-1 東京大学前史,正本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/dcba61f2-7572-4eff-0dcf-6d7dc02da076.json,dcba61f2-7572-4eff-0dcf-6d7dc02da076,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/dcba61f2-7572-4eff-0dcf-6d7dc02da076,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ffda5c300d028802dd37033daf704377dd6f8e34.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482167,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,315,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/dcba61f2-7572-4eff-0dcf-6d7dc02da076/manifest,,,,,88
履歴書綴  [文久年間カ~明治二十六年],,(文久年間カ)~(明治26年) (1861~1893),,267×204,重要文化財,169,286,I史料,1.東京大学関係,,1-2 東京大学時代(明治10年~明治19年),副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/479aa42e-6e09-4721-5177-a508b03447d9.json,479aa42e-6e09-4721-5177-a508b03447d9,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/479aa42e-6e09-4721-5177-a508b03447d9,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b070498c64c5e40eeaace4505daef33fd6dd74dc.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482168,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,316,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/479aa42e-6e09-4721-5177-a508b03447d9/manifest,,,,,410
文部省伺済  明治十四年一月ヨリ同年六月マテ,,明治14年1月~明治14年6月 (1881~1881),東京大学医学部,269×192,重要文化財,170,284,I史料,1.東京大学関係,,1-2 東京大学時代(明治10年~明治19年),副本,医学部関係書類,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d442bb1c-0978-058d-399c-a36ac56497a8.json,d442bb1c-0978-058d-399c-a36ac56497a8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/d442bb1c-0978-058d-399c-a36ac56497a8,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/21c8a14040f002baa9bba33b90a6d9e647eb8804.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482169,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,317,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d442bb1c-0978-058d-399c-a36ac56497a8/manifest,,,,,20
