タイトル	書名よみ	出版	形態	他の書名	注記	分類	原本請求記号	編著者等	出版年（西暦）	ローマ字タイトル	iiif viewer	ID	ウェブサイトURL	アイテムURL	利用条件	サムネイル	機械可読ドキュメント	帰属	viewingDirection	viewingHint	コレクション	ソート用項目	西暦	IIIFマニフェストURI	IIIF Search API URI	アノテーション付きIIIFマニフェストURI	Link to TAPAS Project	Text with Rich Text Format	# of media
dcterms:title	dcndl:titleTranscription	dcterms:publisher	dcterms:extent	dcndl:alternative	dcterms:description	dcterms:subject	dcndl:callNumber	dcterms:creator	dcterms:date	uterms:roman	iiif viewer	bibo:identifier	dcterms:isPartOf	dcterms:relation	dcterms:rights	foaf:thumbnail	rdfs:seeAlso	sc:attributionLabel	sc:viewingDirection	sc:viewingHint	uterms:databaseLabel	uterms:sort	uterms:year	uterms:manifestUri	uterms:searchApiUri	uterms:annotedManifest	uterms:linkToTapas	uterms:rtf	7584
武稽百人一首 / 笠亭仙果編	ブケイ ヒャクニン イッシュ	江戸 : 山口屋藤兵衛 ; [出版年不明]	1冊(55丁) ; 19cm	武藝百首|武藝百人一首		和歌	P850	笠亭仙果編		bukei hyakunin isshu	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bacf88a5-4d55-45fb-9921-2aac105975dc.json	bacf88a5-4d55-45fb-9921-2aac105975dc	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/bacf88a5-4d55-45fb-9921-2aac105975dc	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/577d95d109410771144872cdcc7f4011cc4f8019.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91633	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	108		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bacf88a5-4d55-45fb-9921-2aac105975dc/manifest					60
和漢英雄百人一首 / 柳亭種秀録 ; 玉蘭斎貞秀畫	ワカン エイユウ ヒャクニン イッシュ	江戸 : 山口屋藤兵衛 ; [出版年不明]	1冊(49丁) ; 18cm	英雄百首	備考: 見返しの出版者:錦耕堂	和歌	P851	柳亭種秀録 ; 玉蘭斎貞秀畫		wakan eiyu hyakunin isshu	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f668853b-e859-4caa-9189-c3e051a04deb.json	f668853b-e859-4caa-9189-c3e051a04deb	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/f668853b-e859-4caa-9189-c3e051a04deb	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/64a34b5d86c314949f7768f3c7cad00301eaff2c.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91634	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	109		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f668853b-e859-4caa-9189-c3e051a04deb/manifest					57
日新館童子訓 / 松平(保科)容頌	ニッシンカン ドウジクン	[出版地不明] : [出版者不明] ; 享和3序	2巻2冊 ; 27cm		成立年: 享和3序	教訓	P753	松平(保科)容頌	1803序	nisshinkan dojikun	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e023be95-9b7b-4b4e-9f15-e6497e5afb58.json	e023be95-9b7b-4b4e-9f15-e6497e5afb58	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/e023be95-9b7b-4b4e-9f15-e6497e5afb58	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ad03b94a99c2dc80d02e211468cb62f9c7f759ec.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91538	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	11		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e023be95-9b7b-4b4e-9f15-e6497e5afb58/manifest					117
畸人百人一首 / 緑亭川柳作	キジン ヒャクニン イッシュ	東都 : 錦耕堂山口屋藤兵衛 ; [出版年不明]	1冊(60丁) ; 19cm		成立年: 嘉永5	和歌	P852	緑亭川柳作		kijin hyakunin isshu	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/27c2601e-bf99-4132-bd0c-87fb9b061237.json	27c2601e-bf99-4132-bd0c-87fb9b061237	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/27c2601e-bf99-4132-bd0c-87fb9b061237	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7ef3f69db56043a072c825774eb2a7baf61293ed.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91635	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	110		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/27c2601e-bf99-4132-bd0c-87fb9b061237/manifest					65
稚德塵刧記 / 魁春亭貞芳画図	チトク ジンコウキ	浪華 : 青玉堂 ; [出版年不明]	1冊(14丁) ; 18cm		備考: 第4丁が落丁	和算	P853	魁春亭貞芳画図		chitoku jinkoki	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f7a1b4f3-005e-4cab-8aa3-bdc613c12928.json	f7a1b4f3-005e-4cab-8aa3-bdc613c12928	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/f7a1b4f3-005e-4cab-8aa3-bdc613c12928	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8a580af776f8f8c12a93ad5198cac2fa65de0dbb.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91636	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	111		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f7a1b4f3-005e-4cab-8aa3-bdc613c12928/manifest					17
ぢん功記	ジンコウキ	[出版地不明] : [出版者不明] ; [出版年不明]	1冊(9丁) ; 19cm	ぢんかうき	角書: 改正		P854			jinkoki	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/cd6902d1-e15a-4160-8079-dc6517f0cb7c.json	cd6902d1-e15a-4160-8079-dc6517f0cb7c	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/cd6902d1-e15a-4160-8079-dc6517f0cb7c	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/459eaf0376cb7eef9d9cb1774d2a8d6fadf7570d.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91637	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	112		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/cd6902d1-e15a-4160-8079-dc6517f0cb7c/manifest					12
猿蟹物語 / 六々園	サル カニ モノガタリ	大坂 : 千里亭扇屋利○ ; [出版年不明]	1冊(20丁) ; 18cm				P855	六々園		saru kani monogatari	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/25fe25c3-a658-48d4-9399-8c3f9d80577e.json	25fe25c3-a658-48d4-9399-8c3f9d80577e	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/25fe25c3-a658-48d4-9399-8c3f9d80577e	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f7f7c9f76154cfd36ef61983a0313a449190e716.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91638	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	113		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/25fe25c3-a658-48d4-9399-8c3f9d80577e/manifest					23
大晦日曙草紙 ; (初)(二)(四)(七)(九)(十)(十九)(廿)(廿一) / 山東京山作 ; 歌川国貞, 豊国, 国政, 芳綱等畫	オオミソカ アケボノ ソウシ	東都 : 蔦屋吉蔵 ; 弘化3?	26編104巻7冊 ; 18cm		備考: 初, ニ, 四, 七, 九, 十, 十九, 二十, 二十一編所蔵	合巻	P856	山東京山作 ; 歌川国貞, 豊国, 国政, 芳綱等畫	1846?	omisoka akebono soshi	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e6091a23-3cb7-46a6-b504-07299657e0d4.json	e6091a23-3cb7-46a6-b504-07299657e0d4	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/e6091a23-3cb7-46a6-b504-07299657e0d4	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a15ca0995e2d9775a5921328f3c23590a91a6c8a.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91639	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	114		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e6091a23-3cb7-46a6-b504-07299657e0d4/manifest					239
英傑三国誌傳 / 秋菶莽著 ; 梅窓園畫	エイケツ サンゴクシデン	[出版地不明] : [出版者不明] ; 嘉永3序	1冊 ; 18cm		成立年: 嘉永3	絵画	P857	秋菶莽著 ; 梅窓園畫	1850序	eiketsu sangokushiden	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4e395e3e-50b7-4d6e-b8d0-164d6d9e715d.json	4e395e3e-50b7-4d6e-b8d0-164d6d9e715d	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/4e395e3e-50b7-4d6e-b8d0-164d6d9e715d	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8fda4d2127bc82fd1df35fad7c2f402b8137e6cf.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91640	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	115		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4e395e3e-50b7-4d6e-b8d0-164d6d9e715d/manifest					24
童子教稚繪解 ; (上) / 笠亭主人註釈 ; 五雲亭貞秀畫	ドウジキョウ オサナ エトキ	東都 : 山本平吉 ; 嘉永5	2巻2冊(44丁) ; 18cm	繪入講釈童子教稚繪解	角書: 訂字改訓. 成立年: 嘉永5	教訓	P858	笠亭主人註釈 ; 五雲亭貞秀畫	1852	dojikyo osana etoki	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/6e889783-c75f-4f65-b325-01f15b47d561.json	6e889783-c75f-4f65-b325-01f15b47d561	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/6e889783-c75f-4f65-b325-01f15b47d561	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2d7c81f9c0f63b228a4eb93a4874074caf52fa2a.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91641	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	116		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/6e889783-c75f-4f65-b325-01f15b47d561/manifest					47
道具字引圖解 ; (初編) / 又玄斎誌	ドウグ ジビキ ズカイ	東京 : 大和屋喜兵衛 ; [出版年不明]	2編2冊(29丁) ; 18cm		角書: 四民重寶	辞書	P859	又玄斎誌		dogu jibiki zukai	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f44f90eb-cfed-42b0-a28d-656e5905704c.json	f44f90eb-cfed-42b0-a28d-656e5905704c	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/f44f90eb-cfed-42b0-a28d-656e5905704c	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/686b7e792711682e34c86d7889dc9d7b4236b6ed.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91642	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	117		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f44f90eb-cfed-42b0-a28d-656e5905704c/manifest					32
庭訓往來 / 玄慧	テイキン オウライ	東都 : 須原屋茂兵衛 ; 天保10	1冊(48丁) ; 26cm			往来物	P860	玄慧	1839	teikin orai	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a19b74eb-b3d7-4181-98f1-9d8dca09ca89.json	a19b74eb-b3d7-4181-98f1-9d8dca09ca89	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/a19b74eb-b3d7-4181-98f1-9d8dca09ca89	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4f3a62003bdb30eadee6cdc8e407e34123b802be.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91643	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	118		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a19b74eb-b3d7-4181-98f1-9d8dca09ca89/manifest					52
庭訓往來 ; 御成敗式目	テイキン オウライ ; ゴセイバイ シキモク	平安 : 田中屋半兵衛 ; 享保7	1冊(105丁) ; 27cm		備考: 享保壬寅年版行, 同丙午年新校正		P861		1722	teikin orai ; goseibai shikimoku	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d25896c5-fc13-4b38-8838-50950e97d587.json	d25896c5-fc13-4b38-8838-50950e97d587	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/d25896c5-fc13-4b38-8838-50950e97d587	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/429d7f469a5c71565b79369d73f4f3f24e89a8c8.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91644	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	119		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d25896c5-fc13-4b38-8838-50950e97d587/manifest					93
[小児をしへ草] / 後藤正速著述	ショウニ オシエグサ	[出版地不明] : [出版者不明] ; [出版年不明]	1冊(13丁) ; 25cm		備考: 書名の記述なし		P754	後藤正速著述		shoni oshiegusa	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/01fd6aa2-1f01-45c6-a545-15011dc3b01a.json	01fd6aa2-1f01-45c6-a545-15011dc3b01a	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/01fd6aa2-1f01-45c6-a545-15011dc3b01a	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a99caa8407a2cc079ece95bdcedbb0871485c33a.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91539	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	12		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/01fd6aa2-1f01-45c6-a545-15011dc3b01a/manifest					17
庭訓往來 / 黒田子謹編	テイキン オウライ	[出版地不明] : [出版者不明] ; 天保14	1冊(76丁) ; 26cm	庭訓往來精注鈔|頭書訓讀庭訓往來注鈔	成立年: 天保14	往来物	P862	黒田子謹編	1843	teikin orai	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/053bf15f-3675-4c0d-8158-7dcb08a101ef.json	053bf15f-3675-4c0d-8158-7dcb08a101ef	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/053bf15f-3675-4c0d-8158-7dcb08a101ef	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8ed41a9d3ff4e62c38cb1bc77b75745eb3ddfda6.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91645	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	120		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/053bf15f-3675-4c0d-8158-7dcb08a101ef/manifest					81
女庭訓往來	オンナ テイキン オウライ	[出版地不明] : [出版者不明] ; [出版年不明]	1冊(50丁) ; 26cm	女庭訓往来和錦抄		往来物	P863			onna teikin orai	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c2ce1575-590e-47ff-99b0-ce5fa508ad07.json	c2ce1575-590e-47ff-99b0-ce5fa508ad07	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/c2ce1575-590e-47ff-99b0-ce5fa508ad07	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c057202d3e2d34efa6ca433d6c64c59925f41d0a.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91646	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	121		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c2ce1575-590e-47ff-99b0-ce5fa508ad07/manifest					53
童子往來百家通 / 暁鐘成纂校並画図 ; 龍章堂文章並巨書	ドウジ オウライ ヒャッカツウ	浪華 : 敦賀屋九兵衛 ; 慶応4	1冊 ; 25cm	大全童子往来百家通	角書: 新撰大全. 成立年: 天保8	往来物	P864	暁鐘成纂校並画図 ; 龍章堂文章並巨書	1868	doji orai hyakkatsu	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/48932d01-3a50-493d-8ff1-cf7f2707ae55.json	48932d01-3a50-493d-8ff1-cf7f2707ae55	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/48932d01-3a50-493d-8ff1-cf7f2707ae55	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/cc24b81f7a2ea4e4e4e4187009b8e9e2088dc184.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91647	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	122		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/48932d01-3a50-493d-8ff1-cf7f2707ae55/manifest					218
新童子往來万世寶鑑	シンドウジ オウライ バンセイ ホウカン	[出版地不明] : 鳥飼源重郎 ; 元文6	1冊(119丁) ; 27cm			往来物	P865		1741	shindoji orai bansei hokan	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d41dc49a-a12c-41fc-b97d-f978d84de255.json	d41dc49a-a12c-41fc-b97d-f978d84de255	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/d41dc49a-a12c-41fc-b97d-f978d84de255	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/489187ebc30561176f7aba1836fd26ea360e93c4.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91648	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	123		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d41dc49a-a12c-41fc-b97d-f978d84de255/manifest					101
百姓往來 / 鴎洲巻筆	ヒャクショウ オウライ	京都 : 錦耕堂 ; 文久2?	1冊(16丁) ; 27cm			往来物	P866	鴎洲巻筆	1862?	hyakusho orai	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3a228c88-6f7c-4178-83c2-34047391a478.json	3a228c88-6f7c-4178-83c2-34047391a478	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/3a228c88-6f7c-4178-83c2-34047391a478	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8a64b436d7f881617e269605eb502f29f6ea6c4a.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91649	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	124		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3a228c88-6f7c-4178-83c2-34047391a478/manifest					23
商賣往來	ショウバイ オウライ	[江戸] : 山城屋佐兵衛 ; 文化6	1冊(12丁) ; 26cm		備考: 題箋 「文化再版 新刻改正 大字仮名附」	往来物	P867		1809	shobai orai	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ce80cfb1-aef4-46bb-bca5-53659daeff52.json	ce80cfb1-aef4-46bb-bca5-53659daeff52	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/ce80cfb1-aef4-46bb-bca5-53659daeff52	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8df1c1daff25a1058f6449705e9ea7a743ed7ccb.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91650	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	125		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ce80cfb1-aef4-46bb-bca5-53659daeff52/manifest					15
商賣往來	ショウバイ オウライ	羽州山形 : 北條忠兵衛 ; 嘉永2	1冊(12丁) ; 26cm	商賣往来繪抄		往来物	P868		1849	shobai orai	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/96a2e86c-b999-407d-8ce4-82580317f1e2.json	96a2e86c-b999-407d-8ce4-82580317f1e2	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/96a2e86c-b999-407d-8ce4-82580317f1e2	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ab42409ccab424792ac9b3bce8f466fbf80a67c4.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91651	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	126		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/96a2e86c-b999-407d-8ce4-82580317f1e2/manifest					16
