タイトル,作成日,ID,文書種類,文書記述形式,枚数,カード目録,カテゴリ,所蔵,所属,内容,備考,登録年,エンティティ（Google Cloud Vision）,軍艦,特記事項,Transcription,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
〔諸艦起工・進水〕/〔佐々木中佐宛平賀照会状〕/〔長門改正案メモ〕/〔呉造船船渠メモ〕,,21491001,,,,〔A125、陸奥変体 大6-6-12提案〕,主力艦:長門型,東京大学柏図書館,,,,2007,text|font|music|paper|angle|rectangle,http://dbpedia.org/resource/Japanese_battleship_Mutsu|http://dbpedia.org/resource/Japanese_battleship_Nagato,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/6cfa8899-5638-40e2-8e5a-637258cd9e61.json,6cfa8899-5638-40e2-8e5a-637258cd9e61,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/6cfa8899-5638-40e2-8e5a-637258cd9e61,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b37858686b012562916f745da04d5aa336203af0.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109197,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109197/manifest,,,,,3
Comparison of Weight in Normal Condition  大正6.6.12,,21491101,,,,〔A125、陸奥変体 大6-6-12提案〕,主力艦:長門型,東京大学柏図書館,,,,2007,text|font|black and white|paper|document|angle|brand|paper product|rectangle|pattern,http://dbpedia.org/resource/Japanese_battleship_Mutsu,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/51565469-1047-4089-ba63-0b739e523bf2.json,51565469-1047-4089-ba63-0b739e523bf2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/51565469-1047-4089-ba63-0b739e523bf2,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/bf9074478a6067195129a00c7d501780faf1b499.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109198,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109198/manifest,,,,,1
〔陸奥公試メモ〕/〔計算メモ〕/〔船体重量〕,,21491201,,,,〔A125、陸奥変体 大6-6-12提案〕,主力艦:長門型,東京大学柏図書館,,,,2007,text|font|paper|design|product|angle|diagram|document|drawing|rectangle|pattern|brand|music,http://dbpedia.org/resource/Japanese_battleship_Mutsu,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9c018342-69b0-4a60-ba17-ef0b13329772.json,9c018342-69b0-4a60-ba17-ef0b13329772,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/9c018342-69b0-4a60-ba17-ef0b13329772,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a054bbe118d50b762ae81da0bee260f361bd6013.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109199,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109199/manifest,,,,,2
〔?〕,,21491301,,,,〔A125、陸奥変体 大6-6-12提案〕,主力艦:長門型,東京大学柏図書館,,,,2007,text|paper|black and white|line|pattern|design|font|square|diagram|angle,http://dbpedia.org/resource/Japanese_battleship_Mutsu,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/035a717d-34d2-4e7c-9728-f4e1be6d6d30.json,035a717d-34d2-4e7c-9728-f4e1be6d6d30,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/035a717d-34d2-4e7c-9728-f4e1be6d6d30,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ca93494f27823bcf40cec060c87f98f2e6b55f23.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109200,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109200/manifest,,,,,1
〔?〕/〔?〕,,21491401,,,,〔A125、陸奥変体 大6-6-12提案〕,主力艦:長門型,東京大学柏図書館,,,,2007,text|paper|diagram|font|line|product|document|angle|music|brand|black and white|design|pattern|square|rectangle,http://dbpedia.org/resource/Japanese_battleship_Mutsu,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/785c7b18-5589-4894-a99d-c94182081668.json,785c7b18-5589-4894-a99d-c94182081668,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/785c7b18-5589-4894-a99d-c94182081668,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5a7dbd1d63c4861b6712c18eb2cdcf2e93e1f2f7.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109201,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109201/manifest,,,,,2
第八号戦艦機械室大体装置 大正6.5.28/〔ボイラー図面〕/〔中央断面図〕/“125”BATTLE SHIP,,21491501,,,,〔A125、陸奥変体 大6-6-12提案〕,主力艦:長門型,東京大学柏図書館,,,,2007,text|black and white|line|font|paper|angle|square|rectangle|document|product|monochrome|monochrome photography|pattern|architecture|design|space|artwork|history|visual arts,http://dbpedia.org/resource/Battleship|http://dbpedia.org/resource/Japanese_battleship_Mutsu,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c052c841-0ddd-4dd8-89ed-70c0ba502949.json,c052c841-0ddd-4dd8-89ed-70c0ba502949,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/c052c841-0ddd-4dd8-89ed-70c0ba502949,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/bf61a0368c164bbf1da10dddd64fece90746ef2d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109202,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109202/manifest,,,,,8
〔牧野茂氏による解題メモ〕,,21491601,,,,〔A125、陸奥変体 大6-6-12提案〕,主力艦:長門型,東京大学柏図書館,,,,2007,text|font|paper|black and white|rectangle|document|paper product|brand,http://dbpedia.org/resource/Japanese_battleship_Mutsu,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ab5dc34b-dcc3-494c-8abd-b4b866857224.json,ab5dc34b-dcc3-494c-8abd-b4b866857224,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/ab5dc34b-dcc3-494c-8abd-b4b866857224,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0c160fe921631b66e16e2365065e686da5812170.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109203,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109203/manifest,,,,,1
〔長門・陸奥メモ〕,,21500101,長門・陸奥数値メモ・曲線図,方眼紙ペン書き,11枚,〔古鷹型強度関係〕,巡洋艦:古鷹型,東京大学柏図書館,,,牧野茂氏メモ付(長門に関する所見、この袋の内容とは無関係?),2007,font|notebook|paper|music|angle|paper product|square|text|product|material|document|diagram|design|line|pattern|rectangle|black and white|white,http://dbpedia.org/resource/Japanese_battleship_Mutsu|http://dbpedia.org/resource/Japanese_battleship_Nagato|http://dbpedia.org/resource/Japanese_cruiser_Furutaka,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8e14339a-adee-447e-bc33-ff6a90988100.json,8e14339a-adee-447e-bc33-ff6a90988100,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/8e14339a-adee-447e-bc33-ff6a90988100,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/67845b9e9fbe4dd3481bbf6f89ff3fc6ead691e4.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109204,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109204/manifest,,,,,14
長門計画ノ件,1917-09-28,21510101,報告書?,罫紙鉛筆,7枚,「長門計画ノ件(大正六年九月廿八日)」等 (平賀書),主力艦:長門型,東京大学柏図書館,,,,2007,text|font|paper|document|product|pattern|paper product|writing|angle|drawing,http://dbpedia.org/resource/Japanese_battleship_Nagato,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ca109b43-e23b-48c7-8c11-cf81d583ff1e.json,ca109b43-e23b-48c7-8c11-cf81d583ff1e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/ca109b43-e23b-48c7-8c11-cf81d583ff1e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/018555c911200fcab74cb700c6b5f745e52e160f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109205,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109205/manifest,,,,,4
長門,,21510201,メモ,罫紙鉛筆,5枚,「長門計画ノ件(大正六年九月廿八日)」等 (平賀書),主力艦:長門型,東京大学柏図書館,,,,2007,text|font|music|paper|design|line|document|diagram|angle|pattern|product|brand,http://dbpedia.org/resource/Japanese_battleship_Nagato,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/6b2d966f-9464-4735-bacb-bf0decd03fff.json,6b2d966f-9464-4735-bacb-bf0decd03fff,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/6b2d966f-9464-4735-bacb-bf0decd03fff,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/63601af32264c47409c52abedcf2f72e2f9cad39.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109206,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109206/manifest,,,,,3
軍艦長門(8/10予行)運転成績摘要,1920-09-25,21510301,成績表,手書き謄写,1枚,「長門計画ノ件(大正六年九月廿八日)」等 (平賀書),主力艦:長門型,東京大学柏図書館,,,,2007,text|font|music|line|paper|design|pattern|diagram|material|document,http://dbpedia.org/resource/Japanese_battleship_Nagato|http://dbpedia.org/resource/Warship,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/65c679ad-5b8c-424c-8806-40c2cd752ade.json,65c679ad-5b8c-424c-8806-40c2cd752ade,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/65c679ad-5b8c-424c-8806-40c2cd752ade,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e2c21b8650d140e78364ef7b8ca8e618045ba0a0.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109207,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109207/manifest,,,,,1
戦艦”長門”全力予行運転成績,1920-09-30,21510401,成績表,罫紙ペン,2枚,「長門計画ノ件(大正六年九月廿八日)」等 (平賀書),主力艦:長門型,東京大学柏図書館,,,,2007,text|font|design|paper|line|music|material|pattern|document|diagram|black and white|handwriting|paper product|writing|rectangle|angle|brand,http://dbpedia.org/resource/Battleship|http://dbpedia.org/resource/Japanese_battleship_Nagato,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/defc44ce-750c-4cc1-83e7-26eb2306c36a.json,defc44ce-750c-4cc1-83e7-26eb2306c36a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/defc44ce-750c-4cc1-83e7-26eb2306c36a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7d4637debdc93a4182b190e5c6ac5238c9713aa3.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109208,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109208/manifest,,,,,4
Heel by Rudder 大正9.10.6,,21510501,メモ,罫紙ペン,6枚,「長門計画ノ件(大正六年九月廿八日)」等 (平賀書),主力艦:長門型,東京大学柏図書館,,,,2007,text|music|font|paper|angle|product|writing|handwriting|material|document,http://dbpedia.org/resource/Japanese_battleship_Nagato,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/17d13767-b83e-403b-a279-fe3de286d9a3.json,17d13767-b83e-403b-a279-fe3de286d9a3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/17d13767-b83e-403b-a279-fe3de286d9a3,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/caac2d8eacb5eddc2910ca4280191e2797fdcb03.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109209,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109209/manifest,,,,,3
軍艦長門公試並関係作業実施予定表,1920-09-09,21510601,日程表,手書き謄写,1枚,「長門計画ノ件(大正六年九月廿八日)」等 (平賀書),主力艦:長門型,東京大学柏図書館,,,,2007,music|text|font|line|sheet music|design|paper|angle|material|diagram,http://dbpedia.org/resource/Japanese_battleship_Nagato|http://dbpedia.org/resource/Warship,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ab138345-62e3-49ce-82f8-5be954229dbb.json,ab138345-62e3-49ce-82f8-5be954229dbb,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/ab138345-62e3-49ce-82f8-5be954229dbb,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c432ddfb5a13f67bad47eeac18025fd0dfb48d07.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109210,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109210/manifest,,,,,1
軍艦長門混焼六缶全力運転成績,1920-10-26,21510701,成績表,罫紙ペン,2枚,「長門計画ノ件(大正六年九月廿八日)」等 (平賀書),主力艦:長門型,東京大学柏図書館,,,,2007,text|font|paper|brand|paper product|product|design|line|diagram|pattern|angle|document,http://dbpedia.org/resource/Japanese_battleship_Nagato|http://dbpedia.org/resource/Warship,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1ea13afb-2a25-4629-a521-dfbb66943b81.json,1ea13afb-2a25-4629-a521-dfbb66943b81,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/1ea13afb-2a25-4629-a521-dfbb66943b81,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d02ad7a8c63a964ac56dd91722a6642d8d7f7394.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109211,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109211/manifest,,,,,2
戦艦長門第壱回予行運転中(大正九年九月廿九日)前檣諸「フラット」震動調査表,,21510801,一覧表,手書き青焼き,1枚,「長門計画ノ件(大正六年九月廿八日)」等 (平賀書),主力艦:長門型,東京大学柏図書館,,,,2007,computer keyboard|font|product|numeric keypad|brand|multimedia,http://dbpedia.org/resource/Battleship|http://dbpedia.org/resource/Japanese_battleship_Nagato,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e074ef8c-e961-4159-b203-de4af2488937.json,e074ef8c-e961-4159-b203-de4af2488937,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/e074ef8c-e961-4159-b203-de4af2488937,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1b594f0e0fc91109638a60065bc0e097964121f4.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109212,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109212/manifest,,,,,1
軍艦陸奥工事予定概括表,1917-10-20,21510901,一覧表,手書き青焼き,2枚,「長門計画ノ件(大正六年九月廿八日)」等 (平賀書),主力艦:長門型,東京大学柏図書館,,,,2007,text|black and white|font|monochrome|paper,http://dbpedia.org/resource/Japanese_battleship_Mutsu|http://dbpedia.org/resource/Japanese_battleship_Nagato|http://dbpedia.org/resource/Warship,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/003cefe7-5ad1-4294-b55a-a1f1aa2cf022.json,003cefe7-5ad1-4294-b55a-a1f1aa2cf022,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/003cefe7-5ad1-4294-b55a-a1f1aa2cf022,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/99a0374a27e06f6ebedb3e06d7fa62639b10556f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109213,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109213/manifest,,,,,1
軍艦長門火薬庫気密試験記事,1920-04-27,21511001,報告書?,手書き青焼き,12枚,「長門計画ノ件(大正六年九月廿八日)」等 (平賀書),主力艦:長門型,東京大学柏図書館,,,,2007,black and white|rectangle|text|font|design|line|monochrome|pattern|space|product|brand,http://dbpedia.org/resource/Japanese_battleship_Nagato|http://dbpedia.org/resource/Warship,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/977f5520-9a82-4ad4-bee1-6ced6d0d4231.json,977f5520-9a82-4ad4-bee1-6ced6d0d4231,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/977f5520-9a82-4ad4-bee1-6ced6d0d4231,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/018854f42d483b14e275c2d579e24d2b9a04285d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109214,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109214/manifest,,,,,12
封筒,,21511101,,,,「長門計画ノ件(大正六年九月廿八日)」等 (平賀書),主力艦:長門型,東京大学柏図書館,,,,2007,text|font|black and white|line|drawing|paper|product|rectangle|angle|handwriting,http://dbpedia.org/resource/Japanese_battleship_Nagato,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/856e0736-a01f-4cd7-8685-dac3de06b876.json,856e0736-a01f-4cd7-8685-dac3de06b876,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/856e0736-a01f-4cd7-8685-dac3de06b876,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/746fe2558d3c3a8ac7c636890d67c336a88ef254.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109215,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109215/manifest,,,,,1
(C18.OIL SPACE表),,21520101,表,手書き青焼き,17枚,〔C18.OIL SPACE表〕,収集文献:海外軍艦記事,東京大学柏図書館,,,,2007,text|black and white|paper|font|rectangle|drawing|angle|monochrome|paper product|product|pattern|brand|line|technology|square|electronic component|design|electronics|computer component|monochrome photography|material,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5c114060-5d09-4c78-b0aa-5cf4cf07a2c7.json,5c114060-5d09-4c78-b0aa-5cf4cf07a2c7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/5c114060-5d09-4c78-b0aa-5cf4cf07a2c7,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/39df43082d764ac72d3659ff7cef78c03ef00e42.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/109216,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/109216/manifest,,,,,16
