タイトル	請求記号	画像注記	シリーズ名	編著者	出版社	サイズ	iiif viewer	ID	ウェブサイトURL	アイテムURL	利用条件	サムネイル	機械可読ドキュメント	帰属	viewingDirection	viewingHint	コレクション	ソート用項目	西暦	IIIFマニフェストURI	IIIF Search API URI	アノテーション付きIIIFマニフェストURI	Link to TAPAS Project	Text with Rich Text Format	# of media
操觚要録	GP080:G14:08		[外骨覚書]	宮武外骨		1綴(74丁) /形態:冊子 /12cm×16cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d12ccddb-76b9-4ed7-9c4c-f635f146c2fe.json	d12ccddb-76b9-4ed7-9c4c-f635f146c2fe	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/d12ccddb-76b9-4ed7-9c4c-f635f146c2fe	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/72e15ca04408648412d36bfbdbf2bb76a3f9887d.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72727	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	121		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d12ccddb-76b9-4ed7-9c4c-f635f146c2fe/manifest					84
短句集 甲	GP080:G14:09		[外骨覚書]	宮武外骨		1綴(68丁) /形態:冊子 /11.5cm×16cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c7f38565-f10c-4c93-9bee-ec5f63187223.json	c7f38565-f10c-4c93-9bee-ec5f63187223	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/c7f38565-f10c-4c93-9bee-ec5f63187223	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/597530a00c78341633a831637e8fb6cce70dd59c.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72728	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	122		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c7f38565-f10c-4c93-9bee-ec5f63187223/manifest					76
短句集 乙	GP080:G14:10		[外骨覚書]	宮武外骨		1綴(62丁) /形態:冊子 /12.5cm×16cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2ba6f81f-425c-4965-aca7-e6bbcd725505.json	2ba6f81f-425c-4965-aca7-e6bbcd725505	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/2ba6f81f-425c-4965-aca7-e6bbcd725505	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2768165414047c2988d5f8b4f722a14f900d0d0e.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72729	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	123		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2ba6f81f-425c-4965-aca7-e6bbcd725505/manifest					15
知識片々 俚諺 五七調	GP080:G14:11		[外骨覚書]	宮武外骨		1綴(122丁) /形態:冊子 /11.5cm×16cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/dd12d3e0-aa04-4fc2-aaad-a0b30ea93536.json	dd12d3e0-aa04-4fc2-aaad-a0b30ea93536	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/dd12d3e0-aa04-4fc2-aaad-a0b30ea93536	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4b8353c69e798f5751095cde97c5ef09e1a8a4f1.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72730	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	124		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/dd12d3e0-aa04-4fc2-aaad-a0b30ea93536/manifest					135
ぬきかき	GP080:G14:12		[外骨覚書]	宮武外骨		1綴(41丁) /形態:冊子 /11.5cm×16cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a9e2d98d-04b8-4507-bd78-284739c8b5c1.json	a9e2d98d-04b8-4507-bd78-284739c8b5c1	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/a9e2d98d-04b8-4507-bd78-284739c8b5c1	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/116961da878571a2e3ba57f7aa5d1d72dbd4234c.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72731	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	125		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a9e2d98d-04b8-4507-bd78-284739c8b5c1/manifest					35
賣笑婦研究資料	GP080:G14:13		[外骨覚書]	宮武外骨		1綴(16丁) /形態:冊子 /12cm×16cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7a17d715-8e07-41fa-aba4-1e70cf53fda6.json	7a17d715-8e07-41fa-aba4-1e70cf53fda6	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/7a17d715-8e07-41fa-aba4-1e70cf53fda6	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d9d947c4fc8728c6ee9b2d52ea085b9e4afcea61.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72732	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	126		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7a17d715-8e07-41fa-aba4-1e70cf53fda6/manifest					19
藩印 有無表	GP080:G14:14		[外骨覚書]	宮武外骨		1綴(29丁) /形態:冊子 /12cm×16cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8ef7069e-617b-4e21-8c18-36ebb327dcc8.json	8ef7069e-617b-4e21-8c18-36ebb327dcc8	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/8ef7069e-617b-4e21-8c18-36ebb327dcc8	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d325d7afe1d512d09ffd399c4e35cfe90c24c9fd.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72733	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	127		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8ef7069e-617b-4e21-8c18-36ebb327dcc8/manifest					32
藩名總覽	GP080:G14:15		[外骨覚書]	宮武外骨		1綴(59丁) /形態:冊子 /12cm×16cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/39815936-63ce-497d-a156-fc6357893450.json	39815936-63ce-497d-a156-fc6357893450	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/39815936-63ce-497d-a156-fc6357893450	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/63f769f20a1b7e3865fdcf466384074d69b44c2c.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72734	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	128		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/39815936-63ce-497d-a156-fc6357893450/manifest					65
府藩県 視聴随筆 甲	GP080:G14:16		[外骨覚書]	宮武外骨		1綴(49丁) /形態:冊子 /12cm×16cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f402fb8c-f4bd-44fe-bf99-3de18e65f441.json	f402fb8c-f4bd-44fe-bf99-3de18e65f441	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/f402fb8c-f4bd-44fe-bf99-3de18e65f441	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1f4dcfeceb9749ea6beffb0e6181fb440dfc37f2.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72735	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	129		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f402fb8c-f4bd-44fe-bf99-3de18e65f441/manifest					76
「東洋自由新聞」全部揃物購入	GP020:To85			宮武外骨		1綴(7丁) /形態:冊子 /24cm×16.5cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/aaa9cc68-6cb5-43d4-a930-d73db1d14563.json	aaa9cc68-6cb5-43d4-a930-d73db1d14563	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/aaa9cc68-6cb5-43d4-a930-d73db1d14563	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3206f5e1fe817b63d02b2034bbbb77d21372d08c.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72626	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	13		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/aaa9cc68-6cb5-43d4-a930-d73db1d14563/manifest					7
府藩県 視聴随筆 乙	GP080:G14:17		[外骨覚書]	宮武外骨		1綴(77丁) /形態:冊子 /12cm×16cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/28961d5e-e376-4900-9427-e63e12863151.json	28961d5e-e376-4900-9427-e63e12863151	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/28961d5e-e376-4900-9427-e63e12863151	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0f873a0131f38feb7ce8211831fd0d381f175ffd.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72736	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	130		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/28961d5e-e376-4900-9427-e63e12863151/manifest					92
明治奇聞 材料―明治文化研究資料	GP080:G14:20		[外骨覚書]	宮武外骨		1綴(47丁) /形態:冊子 /12cm×16cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d0efdf22-e393-4462-9f00-75db75ddecc6.json	d0efdf22-e393-4462-9f00-75db75ddecc6	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/d0efdf22-e393-4462-9f00-75db75ddecc6	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e5fdeb27916d5f04ffe85d134fed43fbd5504902.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72737	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	133		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d0efdf22-e393-4462-9f00-75db75ddecc6/manifest					61
我輩浪漫集	GP080:G14:21		[外骨覚書]	宮武外骨		1綴(88丁) /形態:冊子 /12cm×16cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/cff7af33-7387-40fb-a443-96f2bb02039b.json	cff7af33-7387-40fb-a443-96f2bb02039b	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/cff7af33-7387-40fb-a443-96f2bb02039b	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8fece0450ee48b230d2e68ca993c95028160c694.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72738	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	134		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/cff7af33-7387-40fb-a443-96f2bb02039b/manifest					87
籠「宮武外骨収集裁判資料」	GP080:Mi85:000		宮武外骨収集裁判資料	宮武外骨		32.5cm×12.5cm×10cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8ac2bf67-ebad-4013-a415-54acc0487363.json	8ac2bf67-ebad-4013-a415-54acc0487363	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/8ac2bf67-ebad-4013-a415-54acc0487363	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d57ee15e716fc8345e0459f254f0a02aef55f155.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72739	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	135		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8ac2bf67-ebad-4013-a415-54acc0487363/manifest					2
明治十二年二月十五日裁判公報	GP080:Mi85:002					1枚 11×15cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e6bd08a5-9bfe-4666-9ea0-febfe42e8f43.json	e6bd08a5-9bfe-4666-9ea0-febfe42e8f43	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/e6bd08a5-9bfe-4666-9ea0-febfe42e8f43	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/131bc9165fd3222888d9219e0e860eda0d753217.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72740	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	137		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e6bd08a5-9bfe-4666-9ea0-febfe42e8f43/manifest					1
郵便報知新聞	GP080:Mi85:003					1点 H40cm×W31cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4a9a6319-5c07-4bf6-b556-8284efb429b8.json	4a9a6319-5c07-4bf6-b556-8284efb429b8	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/4a9a6319-5c07-4bf6-b556-8284efb429b8	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/22fa289155370c01519657f363a4736d1fd2e7ab.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72741	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	138		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4a9a6319-5c07-4bf6-b556-8284efb429b8/manifest					4
明治十年七月十八日裁判公報	GP080:Mi85:012					1枚 30cm×22cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/21694f5d-6584-46ad-8f6e-80f39748a57d.json	21694f5d-6584-46ad-8f6e-80f39748a57d	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/21694f5d-6584-46ad-8f6e-80f39748a57d	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/504f352e6e8caf1605d8997503e61905c2c07ca3.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72742	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	147		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/21694f5d-6584-46ad-8f6e-80f39748a57d/manifest					1
明治十一年五月十二日裁判公報	GP080:Mi85:013					1枚 34.5cm×26cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/caefd400-bdbf-4a5c-a463-fe4972242cc0.json	caefd400-bdbf-4a5c-a463-fe4972242cc0	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/caefd400-bdbf-4a5c-a463-fe4972242cc0	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/86ba082e0c0ec85e5f6040057d410d7fe53a9163.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72743	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	148		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/caefd400-bdbf-4a5c-a463-fe4972242cc0/manifest					2
職人盡・富士山・狂詩 類聚書目録	GP028:Sh96			宮武外骨		1綴(23丁) /形態:冊子 /24cm×16cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/274760e2-2c17-48fd-9935-4d15a1f9b8a3.json	274760e2-2c17-48fd-9935-4d15a1f9b8a3	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/274760e2-2c17-48fd-9935-4d15a1f9b8a3	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9ef68167b173ede0dcc4fc0dec3d404bdb8e093b.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72627	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	15		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/274760e2-2c17-48fd-9935-4d15a1f9b8a3/manifest					32
雅俗文庫 蔵書目録	GP029.9:G29					1綴(212p) /形態:冊子 /21cm×10cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0c63f130-6c84-4d20-907a-bd99af972d7a.json	0c63f130-6c84-4d20-907a-bd99af972d7a	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/0c63f130-6c84-4d20-907a-bd99af972d7a	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/81195cf66908aa3bfe61600ad18a878d6da1b8c2.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72628	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	16		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0c63f130-6c84-4d20-907a-bd99af972d7a/manifest					115
雅俗文庫追購書目	GP029.9:G292					1綴(31丁) /形態:冊子 /23.5cm×15cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f3fb3d5a-cfc0-4b12-84ef-287a5ffa1de7.json	f3fb3d5a-cfc0-4b12-84ef-287a5ffa1de7	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/f3fb3d5a-cfc0-4b12-84ef-287a5ffa1de7	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ddab8f039e39719de1e0e8738286dadaa801ec3a.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72629	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	17		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f3fb3d5a-cfc0-4b12-84ef-287a5ffa1de7/manifest					28
明治文庫に入れたる雅俗文庫蔵書目録	GP029.9:Me25					1綴(57丁) /形態:冊子 /25.5cm×18cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c1a8f752-77c3-4a9c-99c5-e6f8f3501413.json	c1a8f752-77c3-4a9c-99c5-e6f8f3501413	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/c1a8f752-77c3-4a9c-99c5-e6f8f3501413	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/de1c4dce395f6f7892c85a74f44ab0c15516d1d5.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72630	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	18		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1a8f752-77c3-4a9c-99c5-e6f8f3501413/manifest					59
甲第拾七号	GP080:Mi85:045					1枚 19cm×13.5cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8d6184c0-fd8d-46b6-a623-683aa75ec4c9.json	8d6184c0-fd8d-46b6-a623-683aa75ec4c9	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/8d6184c0-fd8d-46b6-a623-683aa75ec4c9	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4e6d02a9afc37a7fa187834854488ea122f83a4e.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72744	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	180		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8d6184c0-fd8d-46b6-a623-683aa75ec4c9/manifest					1
